文件名,预测,P(good),路径
row197_img1.webp,bad,0.2701,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row197_img1.webp
row195_img2.webp,bad,0.2081,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row195_img2.webp
row366_img2.webp,bad,0.2067,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row366_img2.webp
row420_img1.webp,bad,0.2045,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row420_img1.webp
row471_img1.webp,bad,0.1841,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row471_img1.webp
row404_img2.webp,bad,0.1565,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row404_img2.webp
row282_img1.webp,bad,0.1545,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row282_img1.webp
row477_img2.webp,bad,0.1473,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row477_img2.webp
row020_img1.webp,bad,0.1414,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row020_img1.webp
row396_img1.webp,bad,0.1376,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row396_img1.webp
row365_img2.webp,bad,0.1199,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row365_img2.webp
row399_img1.webp,bad,0.1097,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row399_img1.webp
row082_img2.webp,bad,0.1061,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row082_img2.webp
row109_img2.webp,bad,0.1051,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row109_img2.webp
row373_img2.webp,bad,0.1020,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row373_img2.webp
row455_img2.webp,bad,0.0990,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row455_img2.webp
row448_img1.webp,bad,0.0935,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row448_img1.webp
row440_img2.webp,bad,0.0893,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row440_img2.webp
